email,first_name,business_name,city,industry,specific_issue,phone,website,rating,reviews,hours
help@antoinedental.com,there,Antoine Dental Center,Houston,dental,weekend and after-hours calls going unanswered,(713) 691-8880,https://www.antoinedentalcenter.com,4.7,3201,Monday: 11:00 AM – 6:30 PM | Tuesday: 10:00 AM – 6:30 PM | Wednesday: 10:00 AM – 6:30 PM | Thursday: Closed | Friday: 10:00 AM – 6:30 PM | Saturday: 9:00 AM – 2:00 PM | Sunday: Closed
,there,Nu Dentistry,Houston,dental,weekend and after-hours calls going unanswered,(346) 566-4100,https://nudentistry.com,4.9,2148,Monday: 9:00 AM – 6:00 PM | Tuesday: 9:00 AM – 6:00 PM | Wednesday: 9:00 AM – 6:00 PM | Thursday: 9:00 AM – 6:00 PM | Friday: 9:00 AM – 6:00 PM | Saturday: 9:00 AM – 1:00 PM | Sunday: Closed
avion@houtxdentalgroup.com,there,Avion Dental,Houston,dental,weekend and after-hours calls going unanswered,(281) 272-1959,http://aviondentalhouston.com,4.9,1999,Monday: 2:00 – 7:00 PM | Tuesday: 11:00 AM – 7:00 PM | Wednesday: 11:00 AM – 7:00 PM | Thursday: 11:00 AM – 7:00 PM | Friday: 11:00 AM – 6:00 PM | Saturday: 10:00 AM – 2:00 PM | Sunday: Closed
,there,Midtown Dentistry,Houston,dental,weekend and after-hours calls going unanswered,(713) 588-9297,https://midtowndentistry.com/locations/westheimer,4.8,1405,Monday: 8:00 AM – 5:00 PM | Tuesday: 8:00 AM – 5:00 PM | Wednesday: 8:00 AM – 5:00 PM | Thursday: 8:00 AM – 5:00 PM | Friday: 8:00 AM – 2:00 PM | Saturday: Closed | Sunday: Closed
,there,The Dentists At Houston Westchase,Houston,dental,weekend and after-hours calls going unanswered,(832) 830-8226,https://www.houstonwestchasedentists.com,4.9,1338,Monday: 7:00 AM – 4:00 PM | Tuesday: 7:00 AM – 3:00 PM | Wednesday: 7:00 AM – 3:00 PM | Thursday: 7:00 AM – 3:00 PM | Friday: 7:00 AM – 1:00 PM | Saturday: Closed | Sunday: Closed
,there,MINT dentistry,Houston,dental,weekend and after-hours calls going unanswered,(281) 747-9500,https://mintdentistry.com/dentist/houston/south-houston,4.8,1336,Monday: 8:00 AM – 5:30 PM | Tuesday: 8:00 AM – 5:30 PM | Wednesday: 8:00 AM – 5:30 PM | Thursday: 8:00 AM – 5:30 PM | Friday: 8:00 AM – 5:30 PM | Saturday: Closed | Sunday: Closed
date@dentiq.net,there,Dentiq Dentistry Houston,Houston,dental,weekend and after-hours calls going unanswered,(713) 999-3619,https://www.dentiq.dental,4.9,1242,Monday: 8:00 AM – 12:00 PM | Tuesday: 7:00 AM – 3:00 PM | Wednesday: 7:00 AM – 3:00 PM | Thursday: 7:00 AM – 3:00 PM | Friday: 7:00 AM – 3:00 PM | Saturday: Closed | Sunday: Closed
riveroaks@urbndental.com,there,URBN Dental Implants & Invisalign | Uptown,Houston,dental,weekend and after-hours calls going unanswered,(713) 322-8442,https://urbndental.com/texas/houston-dental-services/river-oaks,4.9,1095,Monday: 8:00 AM – 5:00 PM | Tuesday: 8:00 AM – 5:00 PM | Wednesday: 8:00 AM – 5:00 PM | Thursday: 8:00 AM – 5:00 PM | Friday: 8:00 AM – 5:00 PM | Saturday: 8:00 AM – 2:00 PM | Sunday: Closed
,there,Dental Care and Implants of South East Houston (Formerly Known As: A Dental Care - Gulfgate),Houston,dental,weekend and after-hours calls going unanswered,(832) 990-2874,https://www.dentalcareandimplants.com/locations/gulfgate-office-houston-tx,4.9,1021,Monday: 10:00 AM – 7:00 PM | Tuesday: 10:00 AM – 7:00 PM | Wednesday: 9:00 AM – 4:00 PM | Thursday: 10:00 AM – 7:00 PM | Friday: Closed | Saturday: 9:00 AM – 5:00 PM | Sunday: Closed
info@dentalcare.com,there,Texas Dental Center,Houston,dental,weekend and after-hours calls going unanswered,(832) 831-9101,https://www.texasdentalcenter.com,4.9,977,Monday: 9:00 AM – 5:00 PM | Tuesday: 9:00 AM – 5:00 PM | Wednesday: 9:00 AM – 5:00 PM | Thursday: 9:00 AM – 5:00 PM | Friday: 9:00 AM – 5:00 PM | Saturday: 9:00 AM – 1:00 PM | Sunday: Closed
