name,type,address,phone,website,rating,reviews,status,hours
Nu Dentistry,dentist,"5706 San Felipe St Ste B-300, Houston, TX 77057, USA",(346) 566-4100,https://nudentistry.com/,4.9,2148,OPERATIONAL,Monday: 9:00 AM – 6:00 PM | Tuesday: 9:00 AM – 6:00 PM | Wednesday: 9:00 AM – 6:00 PM | Thursday: 9:00 AM – 6:00 PM | Friday: 9:00 AM – 6:00 PM | Saturday: 9:00 AM – 1:00 PM | Sunday: Closed
Dentiq Dentistry Houston,dentist,"1355 W Gray St, Houston, TX 77019, USA",(713) 999-3619,https://www.dentiq.dental/,4.9,1242,OPERATIONAL,Monday: 8:00 AM – 12:00 PM | Tuesday: 7:00 AM – 3:00 PM | Wednesday: 7:00 AM – 3:00 PM | Thursday: 7:00 AM – 3:00 PM | Friday: 7:00 AM – 3:00 PM | Saturday: Closed | Sunday: Closed
Dentist Tree Of The Heights,dentist,"2105 Yale St Ste 300, Houston, TX 77008, USA",(281) 849-8858,http://www.dentisttreeheights.com/,4.9,706,OPERATIONAL,Monday: 8:00 AM – 5:00 PM | Tuesday: 8:00 AM – 5:00 PM | Wednesday: 8:00 AM – 5:00 PM | Thursday: 8:00 AM – 5:00 PM | Friday: 8:00 AM – 5:00 PM | Saturday: Closed | Sunday: Closed
Texas Dental Center,dentist,"9801 Bissonnet St Ste K, Houston, TX 77036, USA",(832) 831-9101,https://www.texasdentalcenter.com/?utm_source=GMB&utm_medium=Organic&utm_campaign=LocalBusiness,4.9,977,OPERATIONAL,Monday: 9:00 AM – 5:00 PM | Tuesday: 9:00 AM – 5:00 PM | Wednesday: 9:00 AM – 5:00 PM | Thursday: 9:00 AM – 5:00 PM | Friday: 9:00 AM – 5:00 PM | Saturday: 9:00 AM – 1:00 PM | Sunday: Closed
The Houston Dentists,dentist,"4914 Bissonnet St #200, Bellaire, TX 77401, USA",(346) 202-3432,https://www.drfrazar.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing,5,709,OPERATIONAL,Monday: 8:00 AM – 5:00 PM | Tuesday: 8:00 AM – 5:00 PM | Wednesday: 8:00 AM – 5:00 PM | Thursday: 8:00 AM – 5:00 PM | Friday: 8:00 AM – 4:00 PM | Saturday: Closed | Sunday: Closed
MINT dentistry,dentist,"3607 Old Spanish Trl Suite G, Houston, TX 77021, USA",(281) 747-9500,https://mintdentistry.com/dentist/houston/south-houston,4.8,1336,OPERATIONAL,Monday: 8:00 AM – 5:30 PM | Tuesday: 8:00 AM – 5:30 PM | Wednesday: 8:00 AM – 5:30 PM | Thursday: 8:00 AM – 5:30 PM | Friday: 8:00 AM – 5:30 PM | Saturday: Closed | Sunday: Closed
Dentistry Of The Oaks,dentist,"1717 W 34th St Suite 450, Houston, TX 77018, USA",(832) 906-8738,https://www.dentistryoftheoaks.com/,4.9,410,OPERATIONAL,Monday: 7:30 AM – 4:00 PM | Tuesday: 7:30 AM – 4:00 PM | Wednesday: 7:30 AM – 4:00 PM | Thursday: 7:30 AM – 4:00 PM | Friday: Closed | Saturday: Closed | Sunday: Closed
The Dentists At Houston Westchase,dentist,"1500 CityWest Blvd #110, Houston, TX 77042, USA",(832) 830-8226,https://www.houstonwestchasedentists.com/,4.9,1338,OPERATIONAL,Monday: 7:00 AM – 4:00 PM | Tuesday: 7:00 AM – 3:00 PM | Wednesday: 7:00 AM – 3:00 PM | Thursday: 7:00 AM – 3:00 PM | Friday: 7:00 AM – 1:00 PM | Saturday: Closed | Sunday: Closed
Emergency Dental Care USA,dentist,"7906 Gulf Fwy, Houston, TX 77017, USA",(713) 396-3844,https://www.emergencydental.com/se-houston,4.6,761,OPERATIONAL,Monday: 9:00 AM – 9:00 PM | Tuesday: 9:00 AM – 9:00 PM | Wednesday: 9:00 AM – 9:00 PM | Thursday: 9:00 AM – 9:00 PM | Friday: 9:00 AM – 9:00 PM | Saturday: 9:00 AM – 9:00 PM | Sunday: 9:00 AM – 9:00 PM
Sapphire Smiles - Dr. Antoun | Leading Cosmetic Dentist in Houston,dentist,"2522 Yale St #210, Houston, TX 77008, USA",(832) 409-0400,https://www.sapphiresmilesdentistry.com/,5,811,OPERATIONAL,Monday: 9:00 AM – 4:00 PM | Tuesday: 10:00 AM – 5:00 PM | Wednesday: Closed | Thursday: 10:00 AM – 5:00 PM | Friday: 9:00 AM – 4:00 PM | Saturday: 9:00 AM – 4:00 PM | Sunday: Closed
Smile 4 Texas Dental Center - Spring Branch Dentist,dentist,"1400 Blalock Rd D1, Houston, TX 77055, USA",(713) 360-7963,https://www.smile4texas.com/,4.9,863,OPERATIONAL,Monday: 9:00 AM – 6:00 PM | Tuesday: 9:00 AM – 6:00 PM | Wednesday: 10:00 AM – 7:00 PM | Thursday: 10:00 AM – 6:00 PM | Friday: 9:00 AM – 4:00 PM | Saturday: 9:00 AM – 3:00 PM | Sunday: Closed
Memorial Park Dental Spa,dentist,"6010 Washington Ave suite d, Houston, TX 77007, USA",(713) 864-3800,https://www.memorialparkdental.com/,4.8,953,OPERATIONAL,Monday: 11:00 AM – 7:00 PM | Tuesday: 11:00 AM – 7:00 PM | Wednesday: Closed | Thursday: 7:00 AM – 3:30 PM | Friday: 7:00 AM – 3:30 PM | Saturday: 7:00 AM – 3:30 PM | Sunday: Closed
